Paired Pulse Interval (ms),Conductance Ratio (G_pulse / G_max)
5.0,0.036937155420349
10.0,0.06693914394566262
15.0,0.09601584953685031
20.0,0.1241877482631248
25.0,0.15148412623395172
30.0,0.1779297599398409
35.0,0.20355116446660856
40.0,0.22837402850628127
45.0,0.2524232401132531
50.0,0.2757229116577116
55.0,0.2982964040013045
60.0,0.32016634991938325
65.0,0.34135467679319875
70.0,0.3618826285948788
90.0,0.4377928195672229
110.0,0.5046727641434071
130.0,0.5635966968752689
150.0,0.6155110617956945
170.0,0.6612497143285263
190.0,0.7015473147850896
210.0,0.7370511285756494
230.0,0.7683314226724094
250.0,0.795890625313334
270.0,0.8201713960712392
300.0,0.8512857779782593
350.0,0.8916467219328768
400.0,0.9210537317259776
450.0,0.9424796980250697
500.0,0.9580906708876661
550.0,0.969464835782472
600.0,0.9777520596597494
650.0,0.983790136320951
700.0,0.9881894828701112
750.0,0.9913948496028547
800.0,0.9937302818713947
850.0,0.9954318793283136
900.0,0.9966716643327423
1000.0,0.9982331233898066
1100.0,0.9990620378267854
1200.0,0.9995020744327554
1300.0,0.999735671781234
1400.0,0.999859679012623
1500.0,0.9999255093550344
1600.0,0.9999604559781745
1700.0,0.9999790077040837
1800.0,0.999988856052887
2000.0,0.9999968595112101
